ZIP,NUM_OF_EVS,NUM_OF_CHARGERS,EV_CHARGER_RATIO
36067,22.0,0.0,inf
36526,53.0,9.0,5.888888888888889
36532,57.0,0.0,inf
36535,12.0,5.0,2.4
35126,12.0,0.0,inf
36207,12.0,0.0,inf
36801,22.0,0.0,inf
35160,12.0,1.0,12.0
36330,23.0,3.0,7.666666666666667
36303,19.0,3.0,6.333333333333333
36701,18.0,1.0,18.0
36301,5.0,0.0,inf
35020,4.0,0.0,inf
35023,9.0,1.0,9.0
35173,42.0,0.0,inf
35205,38.0,2.0,19.0
35209,56.0,1.0,56.0
35211,11.0,0.0,inf
35215,16.0,2.0,8.0
35216,79.0,2.0,39.5
35226,73.0,0.0,inf
35242,136.0,1.0,136.0
35244,96.0,2.0,48.0
35630,20.0,3.0,6.666666666666667
35603,29.0,1.0,29.0
36830,62.0,5.0,12.4
36832,19.0,4.0,4.75
36867,9.0,5.0,1.8
35611,8.0,2.0,4.0
35613,29.0,1.0,29.0
35749,20.0,0.0,inf
35801,47.0,4.0,11.75
35802,46.0,0.0,inf
35803,53.0,0.0,inf
35806,40.0,8.0,5.0
35810,6.0,3.0,2.0
35811,23.0,0.0,inf
36582,12.0,0.0,inf
36605,6.0,1.0,6.0
36608,42.0,9.0,4.666666666666667
36695,60.0,0.0,inf
36108,4.0,1.0,4.0
36109,19.0,4.0,4.75
36116,29.0,0.0,inf
36117,65.0,10.0,6.5
35601,14.0,4.0,3.5
35640,15.0,1.0,15.0
36869,0.0,0.0,
35007,21.0,1.0,21.0
35124,31.0,1.0,31.0
35401,27.0,2.0,13.5
35404,18.0,0.0,inf
35405,35.0,5.0,7.0
99502,61.0,0.0,inf
99504,87.0,0.0,inf
99507,133.0,0.0,inf
99508,95.0,0.0,inf
99515,73.0,2.0,36.5
99577,81.0,0.0,inf
99705,69.0,0.0,inf
99709,104.0,0.0,inf
99801,113.0,17.0,6.647058823529412
99645,35.0,2.0,17.5
99654,17.0,2.0,8.5
85635,25.0,3.0,8.333333333333334
86001,131.0,16.0,8.1875
86004,66.0,11.0,6.0
85541,33.0,2.0,16.5
85006,18.0,0.0,inf
85008,28.0,12.0,2.3333333333333335
85009,13.0,1.0,13.0
85013,95.0,15.0,6.333333333333333
85014,44.0,10.0,4.4
85015,39.0,2.0,19.5
85016,59.0,16.0,3.6875
85017,19.0,1.0,19.0
85020,46.0,2.0,23.0
85021,77.0,3.0,25.666666666666668
85022,53.0,6.0,8.833333333333334
85023,39.0,5.0,7.8
85024,42.0,2.0,21.0
85027,30.0,7.0,4.285714285714286
85028,80.0,3.0,26.666666666666668
85029,23.0,4.0,5.75
85031,12.0,0.0,inf
85032,71.0,7.0,10.142857142857142
85033,4.0,0.0,inf
85035,2.0,2.0,1.0
85037,16.0,3.0,5.333333333333333
85040,4.0,7.0,0.5714285714285714
85041,15.0,0.0,inf
85042,23.0,1.0,23.0
85043,23.0,0.0,inf
85044,80.0,2.0,40.0
85048,97.0,2.0,48.5
85050,69.0,1.0,69.0
85051,42.0,8.0,5.25
85053,26.0,2.0,13.0
85085,58.0,7.0,8.285714285714286
85086,85.0,3.0,28.333333333333332
85119,21.0,1.0,21.0
85120,12.0,0.0,inf
85142,72.0,2.0,36.0
85143,29.0,0.0,inf
85201,40.0,6.0,6.666666666666667
85202,52.0,4.0,13.0
85203,47.0,0.0,inf
85204,55.0,2.0,27.5
85205,40.0,0.0,inf
85206,23.0,8.0,2.875
85208,17.0,0.0,inf
85209,41.0,2.0,20.5
85210,25.0,5.0,5.0
85212,37.0,13.0,2.8461538461538463
85213,53.0,0.0,inf
85224,56.0,12.0,4.666666666666667
85233,91.0,2.0,45.5
85234,89.0,8.0,11.125
85248,82.0,7.0,11.714285714285714
85249,69.0,0.0,inf
85250,62.0,4.0,15.5
85251,107.0,27.0,3.962962962962963
85254,146.0,25.0,5.84
85255,80.0,10.0,8.0
85257,66.0,9.0,7.333333333333333
85258,99.0,8.0,12.375
85260,94.0,32.0,2.9375
85268,69.0,2.0,34.5
85281,180.0,39.0,4.615384615384615
85282,110.0,14.0,7.857142857142857
85283,87.0,3.0,29.0
85286,102.0,20.0,5.1
85295,65.0,7.0,9.285714285714286
85296,74.0,1.0,74.0
85297,52.0,9.0,5.777777777777778
85298,75.0,1.0,75.0
85301,24.0,3.0,8.0
85302,24.0,1.0,24.0
85303,20.0,0.0,inf
85304,24.0,0.0,inf
85306,30.0,0.0,inf
85308,111.0,6.0,18.5
85323,11.0,8.0,1.375
85326,16.0,3.0,5.333333333333333
85335,19.0,2.0,9.5
85338,36.0,4.0,9.0
85339,36.0,2.0,18.0
85340,61.0,5.0,12.2
85345,19.0,3.0,6.333333333333333
85351,18.0,1.0,18.0
85353,10.0,4.0,2.5
85373,11.0,0.0,inf
85374,45.0,4.0,11.25
85375,30.0,0.0,inf
85381,44.0,2.0,22.0
85382,51.0,13.0,3.923076923076923
85383,106.0,2.0,53.0
85388,21.0,5.0,4.2
85392,33.0,0.0,inf
85395,70.0,7.0,10.0
86401,8.0,4.0,2.0
86406,25.0,0.0,inf
86409,0.0,3.0,0.0
86442,5.0,0.0,inf
85614,21.0,4.0,5.25
85629,18.0,0.0,inf
85641,46.0,0.0,inf
85705,72.0,4.0,18.0
85706,0.0,1.0,0.0
85710,43.0,2.0,21.5
85711,52.0,2.0,26.0
85712,49.0,1.0,49.0
85713,15.0,3.0,5.0
85715,48.0,2.0,24.0
85716,96.0,1.0,96.0
85718,118.0,6.0,19.666666666666668
85719,156.0,14.0,11.142857142857142
85730,22.0,0.0,inf
85741,25.0,2.0,12.5
85742,36.0,2.0,18.0
85743,30.0,6.0,5.0
85745,67.0,3.0,22.333333333333332
85746,9.0,0.0,inf
85747,37.0,1.0,37.0
85749,72.0,0.0,inf
85750,94.0,1.0,94.0
85756,22.0,2.0,11.0
85122,31.0,5.0,6.2
85132,7.0,5.0,1.4
85140,33.0,2.0,16.5
86303,49.0,2.0,24.5
86314,28.0,3.0,9.333333333333334
86326,19.0,3.0,6.333333333333333
85349,10.0,0.0,inf
85364,23.0,2.0,11.5
85365,17.0,5.0,3.4
85367,5.0,0.0,inf
72653,13.0,0.0,inf
72704,19.0,6.0,3.1666666666666665
72712,67.0,17.0,3.9411764705882355
72756,28.0,2.0,14.0
72758,40.0,7.0,5.714285714285714
72762,34.0,3.0,11.333333333333334
72764,26.0,1.0,26.0
72601,9.0,1.0,9.0
72143,26.0,0.0,inf
71603,8.0,0.0,inf
72401,20.0,2.0,10.0
72404,32.0,1.0,32.0
72450,11.0,2.0,5.5
72956,14.0,1.0,14.0
72301,0.0,2.0,0.0
72023,25.0,0.0,inf
72032,16.0,8.0,2.0
72034,52.0,0.0,inf
72076,6.0,1.0,6.0
72120,28.0,1.0,28.0
71901,16.0,5.0,3.2
71913,25.0,5.0,5.0
72104,2.0,0.0,inf
72015,8.0,1.0,8.0
72501,6.0,1.0,6.0
72703,45.0,6.0,7.5
71854,15.0,0.0,inf
72315,3.0,2.0,1.5
72802,23.0,1.0,23.0
72113,54.0,0.0,inf
72116,38.0,2.0,19.0
72118,6.0,3.0,2.0
72204,10.0,1.0,10.0
72205,35.0,6.0,5.833333333333333
72206,10.0,2.0,5.0
72209,3.0,7.0,0.42857142857142855
72211,55.0,7.0,7.857142857142857
72223,89.0,1.0,89.0
72019,24.0,1.0,24.0
72901,0.0,0.0,
72903,23.0,0.0,inf
71730,18.0,2.0,9.0
72701,48.0,4.0,12.0
94501,84.0,10.0,8.4
94536,77.0,2.0,38.5
94544,87.0,27.0,3.2222222222222223
94545,43.0,35.0,1.2285714285714286
94546,57.0,7.0,8.142857142857142
94550,0.0,6.0,0.0
94551,37.0,31.0,1.1935483870967742
94555,69.0,7.0,9.857142857142858
94560,76.0,27.0,2.814814814814815
94568,18.0,27.0,0.6666666666666666
94577,87.0,14.0,6.214285714285714
94578,52.0,9.0,5.777777777777778
94579,48.0,2.0,24.0
94580,51.0,0.0,inf
94587,86.0,6.0,14.333333333333334
94601,69.0,1.0,69.0
94602,38.0,1.0,38.0
94603,33.0,1.0,33.0
94605,59.0,4.0,14.75
94606,71.0,7.0,10.142857142857142
94607,129.0,128.0,1.0078125
94608,112.0,18.0,6.222222222222222
94610,96.0,1.0,96.0
94619,46.0,1.0,46.0
94621,15.0,10.0,1.5
94703,115.0,0.0,inf
94704,118.0,53.0,2.2264150943396226
95035,133.0,70.0,1.9
95377,90.0,6.0,15.0
95901,25.0,8.0,3.125
95926,112.0,3.0,37.333333333333336
95928,100.0,20.0,5.0
95966,27.0,2.0,13.5
95969,39.0,0.0,inf
95973,80.0,1.0,80.0
94509,73.0,10.0,7.3
94513,79.0,31.0,2.5483870967741935
94518,59.0,0.0,inf
94519,66.0,1.0,66.0
94520,64.0,28.0,2.2857142857142856
94521,63.0,4.0,15.75
94523,46.0,19.0,2.4210526315789473
94530,57.0,2.0,28.5
94531,86.0,2.0,43.0
94547,79.0,1.0,79.0
94553,79.0,23.0,3.4347826086956523
94561,63.0,3.0,21.0
94565,97.0,19.0,5.105263157894737
94583,22.0,23.0,0.9565217391304348
94597,50.0,16.0,3.125
94801,33.0,3.0,11.0
94803,67.0,1.0,67.0
94806,74.0,30.0,2.466666666666667
95531,26.0,6.0,4.333333333333333
95667,83.0,25.0,3.32
95682,85.0,2.0,42.5
95762,57.0,5.0,11.4
96150,78.0,23.0,3.391304347826087
93611,100.0,24.0,4.166666666666667
93612,39.0,34.0,1.1470588235294117
93618,9.0,0.0,inf
93619,84.0,0.0,inf
93654,20.0,5.0,4.0
93657,23.0,8.0,2.875
93662,0.0,9.0,0.0
93702,0.0,1.0,0.0
93703,0.0,6.0,0.0
93704,44.0,38.0,1.1578947368421053
93705,24.0,2.0,12.0
93706,0.0,14.0,0.0
93710,55.0,17.0,3.235294117647059
93720,120.0,53.0,2.2641509433962264
93722,54.0,23.0,2.347826086956522
93726,21.0,3.0,7.0
93727,56.0,16.0,3.5
95501,36.0,15.0,2.4
95503,48.0,1.0,48.0
95519,58.0,2.0,29.0
92227,18.0,1.0,18.0
92231,9.0,0.0,inf
92243,35.0,5.0,7.0
93215,5.0,6.0,0.8333333333333334
93280,0.0,4.0,0.0
93304,0.0,0.0,
93305,0.0,0.0,
93306,41.0,1.0,41.0
93307,0.0,5.0,0.0
93308,41.0,6.0,6.833333333333333
93309,46.0,9.0,5.111111111111111
93311,97.0,9.0,10.777777777777779
93312,96.0,0.0,inf
93313,33.0,4.0,8.25
93314,71.0,1.0,71.0
93536,84.0,9.0,9.333333333333334
93555,44.0,0.0,inf
93561,35.0,5.0,7.0
93230,46.0,16.0,2.875
93245,17.0,6.0,2.8333333333333335
93274,36.0,6.0,6.0
90001,39.0,2.0,19.5
90002,62.0,6.0,10.333333333333334
90003,40.0,6.0,6.666666666666667
90004,84.0,3.0,28.0
90005,109.0,19.0,5.7368421052631575
90006,80.0,4.0,20.0
90007,91.0,72.0,1.2638888888888888
90008,34.0,4.0,8.5
90011,99.0,3.0,33.0
90012,68.0,74.0,0.918918918918919
90016,67.0,11.0,6.090909090909091
90017,114.0,39.0,2.923076923076923
90018,61.0,4.0,15.25
90019,58.0,14.0,4.142857142857143
90020,131.0,4.0,32.75
90022,60.0,2.0,30.0
90023,24.0,1.0,24.0
90025,136.0,42.0,3.238095238095238
90027,86.0,15.0,5.733333333333333
90028,0.0,58.0,0.0
90029,77.0,5.0,15.4
90032,67.0,30.0,2.2333333333333334
90033,43.0,27.0,1.5925925925925926
90034,92.0,22.0,4.181818181818182
90037,44.0,4.0,11.0
90038,23.0,40.0,0.575
90039,29.0,6.0,4.833333333333333
90041,57.0,6.0,9.5
90042,148.0,6.0,24.666666666666668
90043,43.0,6.0,7.166666666666667
90044,59.0,7.0,8.428571428571429
90045,16.0,58.0,0.27586206896551724
90046,59.0,23.0,2.5652173913043477
90047,67.0,8.0,8.375
90057,82.0,7.0,11.714285714285714
90059,55.0,5.0,11.0
90061,36.0,4.0,9.0
90062,50.0,3.0,16.666666666666668
